,FeatureName
klpAnswer,11238466
appBackground,2117315
klpResult,1321391
klpStart,1139975
certAnswer,965313
learningModule,939469
main,802316
module,731430
seeWhy,690131
appLaunch,589163
My_Learning,558875
featureFlags,551780
videoList,422638
onboarding,294160
startOfflineVideo,250490
upq,218830
answerUpq,218540
Action_Cards,217747
Video_Chapter,209312
reviewResults,199082
actioncardList,194987
retakeTest,182939
procedureList,173253
chapterList,168164
Practical_Procedures,134881
certificateCentral,112966
settings,104040
videoFull,92835
pinchToZoom,78280
chooseVersionList,71791
setting,53449
certStart,45794
druglist,37378
versionChosen,27967
downloadLanguage,25762
prepTestAnswer,24916
myLearningProfile,19994
Drug_List,18809
certDone,15183
notificationMessage,14457
learnMore,11586
startStream,8872
showDownloadModuleVideos,7973
showStreamWarning,7632
certClaimed,5003
prepTestResult,3174
prepTestStart,2697
confirmDownloadModuleVideos,2282
changeDruglistFilter,2128
buttonZoom,1686
notifications,1586
countryChosen,1533
updateLanguage,1241
showLanguageScreen,1013
certCase,712
handleLink,497
finishedLinkNavigation,488
showDeleteModuleVideos,351
pressedLink,285
externalLinkWarning,284
disableStreamWarning,268
assetsLoading,230
confirmDeleteModuleVideos,171
welcome,133
acceptTerms,133
terms,60
